Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,commit_hash,Bugs
Public Class,org.ahocorasick.trie.TrieTest,1.0,1.0,1.0,1.0,10.0,0.0,10.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,16.0,0.0,16.0,16.0,0.0,1.0,0.0,15.0,,200,17,182,72,133,6,,,,133,150,57,93,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.03,16,16,16,16,7431c74a7f4dd177cdf22090391084f4337da096,0
Public Class,org.ahocorasick.trie.Trie,2.0,2.0,3.0,1.0,11.0,1.0,10.0,0.0,1.0,9.0,9.0,0.0,,0.0,0.0,,,,18.0,3.0,18.0,18.0,0.0,8.0,0.0,10.0,,250,42,197,46,109,11,,,,77,134,55,79,,,,,,9.0,9.0,11.0,8.0,,1.0,6,,75.0,55.0,0.06,47,47,54,25,df503bae438d6b9f728c0c18d3884a131441be9a,1
Public Class,org.ahocorasick.trie.TrieTest,1.0,1.0,1.0,1.0,9.0,0.0,9.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,27.0,0.0,27.0,27.0,0.0,1.0,0.0,26.0,,307,33,271,118,189,13,,,,189,217,92,125,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.05,27,27,27,27,df503bae438d6b9f728c0c18d3884a131441be9a,1
Public Class,org.ahocorasick.interval.Interval,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,,0.0,0.0,,,,10.0,2.0,10.0,10.0,0.0,0.0,0.0,10.0,,62,12,50,20,20,0,,,,18,31,16,15,,,,,,3.0,3.0,3.0,1.0,,1.0,1,,9.0,9.0,0.0,13,13,16,10,df503bae438d6b9f728c0c18d3884a131441be9a,0
Public Class,org.ahocorasick.interval.IntervalNode,3.0,3.0,3.0,1.0,11.0,0.0,10.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,8.0,4.0,8.0,8.0,0.0,0.0,5.0,3.0,,113,19,94,22,59,3,,,,39,70,26,44,,,,,,6.0,6.0,6.0,1.0,,1.0,3,,71.0,53.0,0.03,26,25,28,8,df503bae438d6b9f728c0c18d3884a131441be9a,0
Public Class,org.ahocorasick.interval.IntervalTest,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,7.0,0.0,7.0,7.0,0.0,0.0,0.0,7.0,,47,8,39,18,16,0,,,,16,24,11,13,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,7,7,7,7,df503bae438d6b9f728c0c18d3884a131441be9a,0
Public Class,org.ahocorasick.interval.IntervalTree,2.0,2.0,2.0,1.0,11.0,2.0,7.0,1.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,3.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,,41,12,24,6,13,5,,,,10,19,8,11,,,,,,4.0,4.0,4.0,3.0,,1.0,2,,33.0,0.0,0.21,6,6,6,5,df503bae438d6b9f728c0c18d3884a131441be9a,0
Public Class,org.ahocorasick.interval.IntervalTreeTest,1.0,1.0,1.0,1.0,11.0,0.0,10.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,0.0,1.0,2.0,,41,5,36,12,26,0,,,,26,30,10,20,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,3,3,3,3,df503bae438d6b9f728c0c18d3884a131441be9a,0
Public Class,org.ahocorasick.interval.IntervalableComparatorByPosition,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,8,2,6,3,1,0,,,,1,3,2,1,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,1,1,1,1,df503bae438d6b9f728c0c18d3884a131441be9a,0
Public Class,org.ahocorasick.interval.IntervalableComparatorByPositionTest,1.0,1.0,1.0,1.0,10.0,0.0,10.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,15,2,13,4,8,0,,,,8,10,3,7,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,1,1,1,1,df503bae438d6b9f728c0c18d3884a131441be9a,0
