Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,commit_hash,Bugs
Public Class,org.iq80.cli.Git,1.0,1.0,1.0,1.0,17.0,3.0,14.0,0.0,1.0,9.0,9.0,0.0,,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,60,10,50,25,12,0,,,,10,18,15,3,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,1,1,1,1,c19bbb1e5521e3d39c68dd42853c02cd01bc4d4f,1
Public Generic Class,org.iq80.cli.GitLikeCommandParser,2.0,2.0,2.0,1.0,16.0,1.0,13.0,1.0,1.0,10.0,10.0,0.0,,2.0,0.0,,,,4.0,5.0,6.0,6.0,0.0,1.0,0.0,5.0,,239,36,177,54,85,26,,,,86,114,49,65,,,,,,5.0,5.0,5.0,1.0,,1.0,2,,63.0,63.0,0.15,12,12,12,6,c19bbb1e5521e3d39c68dd42853c02cd01bc4d4f,1
Public Class,org.iq80.cli.GlobalUsage,2.0,2.0,2.0,1.0,15.0,1.0,10.0,2.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,7.0,2.0,7.0,7.0,0.0,1.0,0.0,6.0,,117,16,81,15,47,20,,,,31,51,19,32,,,,,,7.0,7.0,7.0,1.0,,1.0,2,,71.0,21.0,0.25,15,15,15,7,c19bbb1e5521e3d39c68dd42853c02cd01bc4d4f,1
Public Class,org.iq80.cli.GlobalUsageSummary,1.0,1.0,1.0,1.0,14.0,0.0,11.0,2.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,5.0,1.0,5.0,5.0,0.0,0.0,0.0,5.0,,83,9,61,10,33,13,,,,21,34,14,20,,,,,,3.0,3.0,3.0,1.0,,1.0,0,,60.0,19.0,0.21,7,7,7,5,c19bbb1e5521e3d39c68dd42853c02cd01bc4d4f,1
Public Class,org.iq80.cli.HelpCommand,3.0,3.0,3.0,3.0,15.0,1.0,13.0,1.0,3.0,9.0,9.0,0.0,,2.0,0.0,,,,2.0,2.0,4.0,4.0,0.0,0.0,0.0,4.0,,75,10,61,14,31,4,,,,22,39,13,26,,,,,,10.0,10.0,10.0,10.0,,1.0,5,,75.0,50.0,0.07,13,13,13,13,c19bbb1e5521e3d39c68dd42853c02cd01bc4d4f,1
Public Class,org.iq80.cli.model.CommandMetadata,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,11.0,8.0,11.0,11.0,0.0,0.0,0.0,11.0,,93,12,81,29,29,0,,,,37,49,21,28,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,69.0,69.0,0.0,11,11,11,11,c19bbb1e5521e3d39c68dd42853c02cd01bc4d4f,1
Public Class,org.iq80.cli.model.MetadataLoader,3.0,3.0,3.0,1.0,20.0,1.0,18.0,0.0,1.0,11.0,11.0,0.0,,11.0,0.0,,,,0.0,0.0,11.0,11.0,0.0,6.0,0.0,5.0,,233,28,205,54,126,0,,,,89,140,65,75,,,,,,8.0,8.0,11.0,1.0,,1.0,5,,0.0,0.0,0.0,39,39,43,11,c19bbb1e5521e3d39c68dd42853c02cd01bc4d4f,1
Anonymous Class,org.iq80.cli.Accessor.Accessor.(Anon_1),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5,0,5,0,2,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,c19bbb1e5521e3d39c68dd42853c02cd01bc4d4f,0
Public Class,org.iq80.cli.ArgsRequiredWrongMain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,5,0,5,3,0,0,,,,1,2,2,0,,,,,,0.0,0.0,0.0,0.0,,1.0,0,,0.0,0.0,0.0,0,0,0,0,c19bbb1e5521e3d39c68dd42853c02cd01bc4d4f,0
Public Class,org.iq80.cli.CommandGroupUsage,3.0,3.0,3.0,1.0,19.0,1.0,15.0,2.0,1.0,6.0,6.0,0.0,,1.0,0.0,,,,7.0,4.0,8.0,8.0,0.0,1.0,0.0,7.0,,169,22,127,23,80,20,,,,52,83,28,55,,,,,,16.0,16.0,20.0,1.0,,1.0,4,,78.0,28.0,0.16,25,25,29,8,c19bbb1e5521e3d39c68dd42853c02cd01bc4d4f,0
